Fecha,Pasos (media: 10778.17),Objetivo (media: 0.0),Distancia (km) (media: 16.57),Calorías Act (media: 0.0),Calorías Tot (media: 0.0),HR Reposo (media: 59.06),Sueño (h) (media: 6.11)
2025-12-31,12517,0,10.54,0,0,61,6.6
2026-01-01,10405,0,8.53,0,0,60,5.93
2026-01-02,9198,0,7.95,0,0,56,6.7
2026-01-03,12767,0,51.65,0,0,62,5.87
2026-01-04,9894,0,63.98,0,0,64,6.02
2026-01-05,17941,0,15.12,0,0,64,4.85
2026-01-06,7050,0,6.01,0,0,69,4.8
2026-01-07,6651,0,5.45,0,0,59,6.8
2026-01-08,13632,0,12.75,0,0,56,6.37
2026-01-09,14128,0,11.56,0,0,57,7.2
2026-01-10,12857,0,10.78,0,0,62,5.73
2026-01-11,14799,0,49.85,0,0,57,6.28
2026-01-12,9667,0,8.59,0,0,57,7.33
2026-01-13,10002,0,8.5,0,0,49,6.57
2026-01-14,14175,0,11.81,0,0,58,5.25
2026-01-15,6779,0,5.68,0,0,57,6.72
2026-01-16,10742,0,8.8,0,0,55,5.88
2026-01-17,803,0,0.66,0,0,60,5.15
